start,end,summary,location,id,cache_timestamp,calendar_id
2024-07-07 08:00:00,2024-07-07 09:30:00,Gym Class,Gym,1,2025-07-06 17:54:00.000000,Fitness
2024-07-07 10:30:00,2024-07-07 11:45:00,DIY Home Project,Home,2,2025-07-06 17:54:00.000000,Errands
2024-07-07 11:45:00,2024-07-07 12:45:00,Sprint Planning,Office,3,2025-07-06 17:54:00.000000,Productivity
2024-07-07 12:45:00,2024-07-07 13:45:00,Skill Workshop,Community Center,4,2025-07-06 17:54:00.000000,Personal Growth
2024-07-07 13:45:00,2024-07-07 16:00:00,Swimming Laps,Beach,5,2025-07-06 17:54:00.000000,Fitness
2024-07-07 16:00:00,2024-07-07 17:15:00,Gardening,Garden,6,2025-07-06 17:54:00.000000,Personal Growth
2024-07-07 17:15:00,2024-07-07 18:00:00,Street Food Tour,City Streets,7,2025-07-06 17:54:00.000000,Social
2024-07-07 18:00:00,2024-07-07 20:30:00,Performance Review Prep,Home,8,2025-07-06 17:54:00.000000,Productivity
2024-07-07 20:30:00,2024-07-07 22:00:00,Puzzle Evening,Home,9,2025-07-06 17:54:00.000000,Entertainment
2024-07-07 22:00:00,2024-07-07 23:59:00,Skill Workshop,Online,10,2025-07-06 17:54:00.000000,Personal Growth
2024-07-08 07:30:00,2024-07-08 09:00:00,Weekly Review & Planning,Office,11,2025-07-06 17:54:00.000000,Productivity
2024-07-08 09:30:00,2024-07-08 11:45:00,Streaming Series Binge,Home,12,2025-07-06 17:54:00.000000,Entertainment
2024-07-08 11:45:00,2024-07-08 14:00:00,Quick Errands,Local Shops,13,2025-07-06 17:54:00.000000,Errands
2024-07-08 15:00:00,2024-07-08 16:00:00,Board Game Night,Friends' Place,14,2025-07-06 17:54:00.000000,Entertainment
2024-07-08 16:00:00,2024-07-08 16:45:00,Gym Class,Gym,15,2025-07-06 17:54:00.000000,Fitness
2024-07-08 16:45:00,2024-07-08 18:30:00,Zumba Class,Community Center,16,2025-07-06 17:54:00.000000,Fitness
2024-07-08 18:30:00,2024-07-08 20:00:00,Puzzle Evening,Home,17,2025-07-06 17:54:00.000000,Entertainment
2024-07-08 20:45:00,2024-07-08 22:15:00,Project Debrief,Online,18,2025-07-06 17:54:00.000000,Productivity
2024-07-08 22:15:00,2024-07-08 23:00:00,Documentation Creation,Office,19,2025-07-06 17:54:00.000000,Productivity
2024-07-09 09:45:00,2024-07-09 11:45:00,Sporting Event,Sports Bar,20,2025-07-06 17:54:00.000000,Entertainment
2024-07-09 11:45:00,2024-07-09 12:30:00,Gym Session,Gym,21,2025-07-06 17:54:00.000000,Fitness
2024-07-09 12:30:00,2024-07-09 15:00:00,Budget Review,Home,22,2025-07-06 17:54:00.000000,Productivity
2024-07-09 15:00:00,2024-07-09 15:30:00,User Feedback Session,Lab,23,2025-07-06 17:54:00.000000,Productivity
2024-07-09 15:30:00,2024-07-09 16:45:00,Book Club Meeting,Home,24,2025-07-06 17:54:00.000000,Social
2024-07-09 17:45:00,2024-07-09 20:00:00,Post Office Visit,Post Office,25,2025-07-06 17:54:00.000000,Errands
2024-07-09 20:00:00,2024-07-09 20:45:00,Gym Session,Gym,26,2025-07-06 17:54:00.000000,Fitness
2024-07-09 21:00:00,2024-07-09 23:30:00,Code Review,Office,27,2025-07-06 17:54:00.000000,Productivity
2024-07-10 08:15:00,2024-07-10 09:45:00,Coffee with Colleague,Café,28,2025-07-06 17:54:00.000000,Social
2024-07-10 10:15:00,2024-07-10 12:00:00,Project Debrief,Meeting Room,29,2025-07-06 17:54:00.000000,Productivity
2024-07-10 12:00:00,2024-07-10 12:30:00,Volunteer Work,Local Charity,30,2025-07-06 17:54:00.000000,Social
2024-07-10 13:15:00,2024-07-10 14:45:00,Task Prioritization,Home,31,2025-07-06 17:54:00.000000,Productivity
2024-07-10 14:45:00,2024-07-10 16:45:00,Goal Review,Café,32,2025-07-06 17:54:00.000000,Personal Growth
2024-07-10 16:45:00,2024-07-10 18:00:00,Team Brainstorm,Office,33,2025-07-06 17:54:00.000000,Productivity
